model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_0,0.20059,0.22198,0.22403,0.23873,0.24654,0.25655,0.26782,0.27395,0.28368,0.29426,0.24779,0.28024,0.27532,0.28097,0.27965,0.28417,0.28909,0.28872,0.29302,0.29735,0.35782
fea_1,0.21337,0.21915,0.22599,0.23565,0.24043,0.24903,0.25400,0.25837,0.26381,0.26987,0.25664,0.26401,0.26352,0.26475,0.26077,0.26205,0.25874,0.25737,0.25664,0.25457,0.31492
fea_2,0.20649,0.20349,0.21250,0.22363,0.23381,0.24281,0.25375,0.25913,0.26955,0.27838,0.25959,0.24189,0.24484,0.25147,0.25782,0.25959,0.26422,0.26069,0.26352,0.26342,0.31992
fea_3,0.22222,0.20895,0.21411,0.21573,0.22290,0.23084,0.23882,0.24954,0.25668,0.26363,0.25369,0.23746,0.23697,0.23378,0.23599,0.23795,0.24062,0.24705,0.24746,0.24631,0.31381
fea_4,0.20256,0.22282,0.22508,0.23966,0.24817,0.25883,0.26689,0.27499,0.28398,0.29336,0.24779,0.28024,0.27630,0.28024,0.27965,0.28417,0.28698,0.28909,0.29236,0.29587,0.35646
fea_5,0.08555,0.12081,0.15092,0.16975,0.18098,0.19218,0.20635,0.21571,0.22646,0.23586,0.10324,0.16519,0.20452,0.21755,0.22183,0.22763,0.23894,0.23968,0.24320,0.24543,0.29100
fea_6,0.08555,0.12081,0.15092,0.16975,0.18098,0.19218,0.20635,0.21571,0.22646,0.23586,0.10324,0.16519,0.20452,0.21755,0.22183,0.22763,0.23894,0.23968,0.24320,0.24543,0.29100
fea_7,0.08555,0.12081,0.15092,0.16975,0.18098,0.19218,0.20635,0.21571,0.22646,0.23586,0.10324,0.16519,0.20452,0.21755,0.22183,0.22763,0.23894,0.23968,0.24320,0.24543,0.29100
fea_8,0.08555,0.12081,0.15092,0.16975,0.18098,0.19218,0.20635,0.21571,0.22646,0.23586,0.10324,0.16519,0.20452,0.21755,0.22183,0.22763,0.23894,0.23968,0.24320,0.24543,0.29100
fea_9,0.08555,0.12081,0.15092,0.16975,0.18098,0.19218,0.20635,0.21571,0.22646,0.23586,0.10324,0.16519,0.20452,0.21755,0.22183,0.22763,0.23894,0.23968,0.24320,0.24543,0.29100
fea_10,0.22616,0.23775,0.23904,0.24746,0.25923,0.26878,0.27613,0.28595,0.29665,0.30834,0.27729,0.29351,0.28712,0.28540,0.28850,0.29056,0.29035,0.29204,0.29794,0.30118,0.36247
fea_11,0.22026,0.23290,0.23479,0.23977,0.24440,0.24745,0.25206,0.25466,0.26389,0.27014,0.26549,0.28024,0.27040,0.26696,0.26195,0.25762,0.25369,0.25147,0.25467,0.25487,0.31564
fea_12,0.21927,0.21044,0.21166,0.22303,0.23293,0.24197,0.25108,0.26019,0.26891,0.27568,0.27434,0.25221,0.24582,0.25221,0.25664,0.26106,0.26296,0.26364,0.26352,0.26136,0.32176
fea_13,0.23599,0.20963,0.21720,0.21657,0.22308,0.23258,0.24069,0.25087,0.25697,0.26413,0.26549,0.23451,0.23992,0.23304,0.23304,0.23845,0.24105,0.24594,0.24549,0.24543,0.31459
fea_14,0.22616,0.23509,0.23750,0.24625,0.25668,0.26710,0.27510,0.28542,0.29698,0.30737,0.27729,0.28909,0.28614,0.28319,0.28437,0.28958,0.28909,0.29314,0.29925,0.30118,0.36081
fea_15,0.16618,0.18479,0.19666,0.20626,0.21993,0.23108,0.24561,0.25190,0.26243,0.27128,0.20944,0.23894,0.25074,0.25516,0.26195,0.26745,0.27686,0.27913,0.28253,0.28348,0.34200
fea_16,0.21239,0.21014,0.20743,0.21574,0.22470,0.23344,0.23937,0.24686,0.25176,0.26007,0.26549,0.25516,0.24385,0.25369,0.25546,0.25860,0.25748,0.25811,0.25467,0.25605,0.31442
fea_17,0.17797,0.18913,0.20105,0.21561,0.22302,0.23231,0.23734,0.24174,0.24751,0.25662,0.22124,0.23599,0.24484,0.25885,0.25723,0.26205,0.26043,0.25664,0.25631,0.26018,0.31395
fea_18,0.14749,0.15360,0.15862,0.16706,0.17113,0.18040,0.18714,0.19281,0.20084,0.20886,0.17699,0.18437,0.18781,0.19838,0.20059,0.20846,0.21239,0.21386,0.21796,0.22153,0.28414
