model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_19,0.16519,0.18609,0.19673,0.20581,0.22068,0.23225,0.24546,0.25216,0.26202,0.27222,0.20649,0.24189,0.25074,0.25442,0.26195,0.26745,0.27644,0.27913,0.28187,0.28378,0.34171
fea_20,0.27630,0.27477,0.27974,0.28969,0.29645,0.30252,0.31294,0.31935,0.32825,0.33549,0.33923,0.32891,0.31563,0.31563,0.31445,0.30924,0.31100,0.30715,0.30711,0.30531,0.38618
fea_21,0.26057,0.27223,0.28122,0.29094,0.29547,0.30247,0.31207,0.32460,0.33396,0.34508,0.32153,0.32596,0.31662,0.31490,0.30678,0.30334,0.30383,0.30642,0.30646,0.31062,0.39835
fea_22,0.33727,0.33790,0.35178,0.35118,0.36013,0.36310,0.36962,0.37583,0.38419,0.39128,0.41003,0.39971,0.40315,0.38348,0.38053,0.36922,0.36410,0.35767,0.35497,0.34985,0.42899
fea_23,0.27237,0.26528,0.27450,0.27744,0.29146,0.30336,0.31648,0.32579,0.33569,0.34620,0.32743,0.30973,0.30482,0.29572,0.30265,0.30728,0.30805,0.30863,0.30711,0.30737,0.40072
fea_24,0.23500,0.23414,0.23775,0.24330,0.25176,0.25505,0.25919,0.26460,0.27152,0.27948,0.26844,0.26844,0.26155,0.26180,0.26549,0.26057,0.25832,0.25701,0.25795,0.25723,0.32012
fea_25,0.23107,0.23090,0.24152,0.24304,0.24923,0.25238,0.25719,0.26319,0.26930,0.27659,0.27434,0.26549,0.27040,0.26475,0.26254,0.25811,0.25537,0.25701,0.25500,0.25487,0.31890
fea_26,0.24090,0.23867,0.24632,0.24412,0.24902,0.25270,0.25961,0.26690,0.27075,0.27786,0.29794,0.28024,0.27827,0.26327,0.26136,0.25860,0.25917,0.26069,0.25565,0.25428,0.32196
fea_27,0.20157,0.21044,0.22457,0.23330,0.23842,0.24476,0.25155,0.25785,0.26521,0.27076,0.24484,0.24779,0.25762,0.26180,0.25900,0.25910,0.25874,0.25885,0.25696,0.25428,0.31579
fea_28,0.22222,0.22096,0.22832,0.23250,0.23554,0.24460,0.25523,0.26001,0.27191,0.27832,0.25959,0.25959,0.25664,0.25221,0.24720,0.25123,0.25537,0.25369,0.25828,0.25546,0.32116
fea_29,0.24582,0.23501,0.23674,0.23832,0.24620,0.25578,0.26227,0.26944,0.27862,0.28468,0.30088,0.27286,0.26352,0.25664,0.25782,0.26008,0.25959,0.25996,0.26123,0.25811,0.32871
fea_30,0.23107,0.22665,0.22752,0.22965,0.23412,0.24326,0.25284,0.26165,0.27003,0.27805,0.28024,0.26696,0.25860,0.25221,0.24779,0.25221,0.25664,0.25959,0.25959,0.25900,0.32376
fea_31,0.24385,0.23498,0.23476,0.23766,0.24698,0.25412,0.26139,0.26872,0.27717,0.28376,0.30088,0.27434,0.26254,0.25811,0.25900,0.25959,0.26001,0.26143,0.26155,0.26018,0.32913
fea_32,0.22911,0.21650,0.21917,0.22192,0.22885,0.23756,0.24379,0.25394,0.25962,0.26730,0.26254,0.25074,0.24484,0.23968,0.23835,0.24238,0.24189,0.24705,0.24549,0.24808,0.31726
fea_33,0.22124,0.21194,0.21436,0.21783,0.22801,0.23501,0.24447,0.25084,0.25747,0.26683,0.25664,0.24779,0.24189,0.23673,0.24071,0.24238,0.24694,0.24668,0.24517,0.24985,0.31416
fea_34,0.21829,0.20910,0.20997,0.21558,0.22554,0.23219,0.24130,0.24925,0.25504,0.26593,0.25369,0.24336,0.23599,0.23451,0.23835,0.24041,0.24484,0.24558,0.24385,0.24985,0.31389
fea_35,0.22026,0.21234,0.21234,0.21618,0.22697,0.23254,0.24270,0.25042,0.25640,0.26619,0.25369,0.24779,0.23894,0.23378,0.23953,0.23943,0.24526,0.24594,0.24385,0.24926,0.31379
fea_36,0.28220,0.27820,0.28416,0.29099,0.30103,0.30360,0.31315,0.32028,0.32840,0.33765,0.34513,0.33038,0.31957,0.31637,0.31740,0.30826,0.30931,0.30937,0.30777,0.30619,0.38250
fea_37,0.28319,0.28677,0.30129,0.30371,0.31100,0.31633,0.32494,0.33469,0.34562,0.35815,0.34218,0.33186,0.33333,0.32006,0.31740,0.31121,0.31226,0.31232,0.31268,0.31622,0.40429
fea_38,0.33432,0.34366,0.35180,0.35596,0.36164,0.36885,0.37596,0.38209,0.39197,0.39702,0.40118,0.40708,0.40315,0.38864,0.37994,0.37512,0.36957,0.36357,0.36152,0.35487,0.43315
fea_39,0.28122,0.28535,0.29190,0.29701,0.30445,0.31469,0.32592,0.33513,0.34402,0.35516,0.33628,0.32743,0.32153,0.31563,0.30973,0.31023,0.31184,0.31305,0.31137,0.31209,0.40631
fea_40,0.17306,0.18764,0.20769,0.21739,0.21767,0.22564,0.23250,0.23556,0.24063,0.24691,0.21239,0.22861,0.24877,0.25221,0.23894,0.24385,0.24442,0.24152,0.23992,0.23923,0.30785
fea_41,0.16716,0.18510,0.19420,0.20403,0.21339,0.22226,0.22999,0.23864,0.24628,0.25267,0.21829,0.23156,0.23500,0.24115,0.24543,0.24975,0.24947,0.25074,0.25074,0.25133,0.31027
fea_42,0.17994,0.19205,0.20454,0.21809,0.22343,0.22685,0.23256,0.24241,0.25091,0.25905,0.22714,0.24041,0.24582,0.25737,0.25546,0.25025,0.24989,0.25332,0.25303,0.25369,0.30947
fea_43,0.16814,0.17122,0.17949,0.18555,0.18998,0.19399,0.20088,0.21180,0.21988,0.22540,0.21534,0.21091,0.21534,0.22124,0.22242,0.22173,0.22672,0.23341,0.23664,0.23687,0.29740
fea_44,0.16126,0.16572,0.17748,0.18321,0.19381,0.20200,0.20843,0.21589,0.22146,0.22900,0.21239,0.20649,0.21829,0.22124,0.22773,0.23206,0.23304,0.23378,0.23435,0.23687,0.29992
fea_45,0.08555,0.12081,0.15065,0.16950,0.18092,0.19197,0.20615,0.21552,0.22639,0.23580,0.10324,0.16519,0.20354,0.21681,0.22183,0.22714,0.23852,0.23931,0.24320,0.24543,0.29095
lambdarank,0.36971,0.36809,0.37334,0.38065,0.38152,0.38797,0.39752,0.40317,0.40797,0.41511,0.44838,0.42625,0.41396,0.40708,0.38938,0.37906,0.37547,0.36763,0.35955,0.35575,0.43739
ranknet,0.39528,0.38206,0.37915,0.38228,0.39011,0.39555,0.40052,0.40798,0.41300,0.42161,0.47198,0.43658,0.41495,0.40413,0.39705,0.38889,0.37969,0.37389,0.36349,0.35900,0.44229
ranknet_speedup,0.37856,0.37321,0.37042,0.37961,0.38734,0.39489,0.40109,0.40361,0.41065,0.42031,0.44543,0.42330,0.40806,0.40044,0.39528,0.38889,0.38137,0.37021,0.36414,0.36047,0.43955
ranking_svm,0.31170,0.32354,0.33364,0.32942,0.33821,0.34583,0.35220,0.36410,0.37181,0.37852,0.38053,0.38791,0.38938,0.36799,0.36578,0.36185,0.35440,0.35214,0.35038,0.34602,0.40834
log_loss_binary_classify,0.33235,0.33087,0.33487,0.34640,0.35478,0.36271,0.37006,0.37978,0.38756,0.39466,0.39528,0.38201,0.37463,0.37537,0.37404,0.36824,0.36410,0.35878,0.35529,0.35103,0.41748
mse_regression,0.36283,0.35375,0.35351,0.36034,0.36158,0.36696,0.37602,0.38165,0.38615,0.39384,0.42773,0.39823,0.37955,0.37537,0.36578,0.35939,0.35651,0.35288,0.34644,0.34336,0.41691
lambdarank_slow,0.36971,0.37104,0.37193,0.37921,0.38178,0.39015,0.39621,0.40276,0.40792,0.41685,0.44838,0.42478,0.41003,0.40118,0.38525,0.38004,0.37379,0.36615,0.36021,0.35811,0.43800
