model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_0,0.21534,0.22828,0.23516,0.24806,0.25408,0.26243,0.27586,0.28677,0.29683,0.30734,0.28024,0.28614,0.28515,0.29351,0.29322,0.29154,0.30046,0.30605,0.30810,0.31062,0.37236
fea_1,0.27630,0.27462,0.27591,0.28348,0.28761,0.29244,0.29662,0.30431,0.30831,0.31433,0.32743,0.31858,0.30973,0.30973,0.30501,0.30039,0.29541,0.29388,0.28909,0.28909,0.35434
fea_2,0.26942,0.28086,0.28395,0.28792,0.28982,0.29576,0.30388,0.30990,0.31527,0.32136,0.32448,0.32153,0.31367,0.30605,0.29912,0.29744,0.30004,0.29535,0.29204,0.29027,0.36293
fea_3,0.21239,0.21791,0.24153,0.24644,0.25055,0.26196,0.26902,0.27826,0.28625,0.29585,0.27139,0.26696,0.28319,0.27507,0.26785,0.27237,0.27181,0.27212,0.27335,0.27699,0.34816
fea_4,0.21534,0.22528,0.22972,0.24586,0.25306,0.26028,0.27414,0.28612,0.29766,0.30777,0.28024,0.28319,0.28024,0.29277,0.29381,0.29056,0.29920,0.30605,0.30875,0.31209,0.37123
fea_5,0.09833,0.15151,0.17461,0.18801,0.20372,0.22346,0.23403,0.24458,0.25590,0.26635,0.13569,0.20206,0.23107,0.24263,0.25310,0.26598,0.26844,0.27028,0.27499,0.27758,0.32319
fea_6,0.09833,0.15151,0.17461,0.18801,0.20372,0.22346,0.23403,0.24458,0.25590,0.26635,0.13569,0.20206,0.23107,0.24263,0.25310,0.26598,0.26844,0.27028,0.27499,0.27758,0.32319
fea_7,0.09833,0.15151,0.17461,0.18801,0.20372,0.22346,0.23403,0.24458,0.25590,0.26635,0.13569,0.20206,0.23107,0.24263,0.25310,0.26598,0.26844,0.27028,0.27499,0.27758,0.32319
fea_8,0.09833,0.15151,0.17461,0.18801,0.20372,0.22346,0.23403,0.24458,0.25590,0.26635,0.13569,0.20206,0.23107,0.24263,0.25310,0.26598,0.26844,0.27028,0.27499,0.27758,0.32319
fea_9,0.09833,0.15151,0.17461,0.18801,0.20372,0.22346,0.23403,0.24458,0.25590,0.26635,0.13569,0.20206,0.23107,0.24263,0.25310,0.26598,0.26844,0.27028,0.27499,0.27758,0.32319
fea_10,0.21632,0.22455,0.23467,0.24327,0.25560,0.26353,0.27677,0.28816,0.30064,0.31045,0.28319,0.27876,0.28515,0.28614,0.29381,0.29204,0.30046,0.30531,0.31006,0.31180,0.36833
fea_11,0.27925,0.26831,0.27575,0.28167,0.29046,0.29390,0.29864,0.30726,0.31028,0.31468,0.33038,0.30973,0.30973,0.30752,0.30737,0.30236,0.29583,0.29904,0.29105,0.28820,0.35429
fea_12,0.23795,0.25897,0.26474,0.27179,0.27862,0.28499,0.29079,0.29954,0.30809,0.31307,0.27729,0.30088,0.29892,0.29794,0.29735,0.29794,0.29541,0.29314,0.29302,0.29086,0.35582
fea_13,0.20354,0.21318,0.24017,0.24559,0.25027,0.25994,0.27053,0.27560,0.28555,0.29425,0.25664,0.25959,0.28319,0.27655,0.26962,0.26991,0.27434,0.27065,0.27466,0.27758,0.34506
fea_14,0.21337,0.22046,0.22987,0.24077,0.25414,0.26452,0.27636,0.28925,0.30001,0.30985,0.28024,0.27434,0.27925,0.28392,0.29499,0.29499,0.29962,0.30642,0.30908,0.31032,0.36671
fea_15,0.21337,0.21072,0.22059,0.23474,0.24031,0.25054,0.25709,0.26525,0.27584,0.28616,0.27434,0.26549,0.27532,0.28466,0.28378,0.28663,0.28403,0.28429,0.28974,0.29233,0.35821
fea_16,0.21239,0.22499,0.23626,0.23632,0.24238,0.24882,0.25585,0.26360,0.26691,0.27253,0.25959,0.26991,0.28024,0.27655,0.27847,0.28024,0.27855,0.28060,0.27598,0.27581,0.32850
fea_17,0.18387,0.19897,0.21290,0.22000,0.22440,0.23116,0.23796,0.24555,0.25470,0.26480,0.23304,0.24484,0.25565,0.25516,0.25310,0.25320,0.25200,0.25590,0.25959,0.26490,0.32770
fea_18,0.16224,0.17152,0.18243,0.19574,0.20483,0.21221,0.21835,0.22504,0.23056,0.23712,0.20944,0.22271,0.22911,0.24484,0.24897,0.24975,0.24779,0.24926,0.24943,0.24985,0.31366
fea_19,0.21337,0.20997,0.21952,0.23428,0.23977,0.24978,0.25665,0.26327,0.27491,0.28490,0.27434,0.26401,0.27434,0.28466,0.28378,0.28663,0.28403,0.28355,0.28941,0.29174,0.35769
fea_20,0.34513,0.34345,0.34852,0.35487,0.35812,0.36068,0.36823,0.37290,0.38341,0.38811,0.41003,0.38938,0.37856,0.37168,0.37109,0.36087,0.35398,0.34661,0.34775,0.34218,0.42641
fea_21,0.28909,0.31390,0.32308,0.32812,0.33648,0.34461,0.35099,0.36102,0.37222,0.37981,0.34808,0.35546,0.35202,0.34513,0.34336,0.33874,0.33333,0.33149,0.33104,0.33038,0.42870
fea_22,0.36283,0.36170,0.35644,0.36115,0.36802,0.37727,0.38211,0.39409,0.40231,0.41192,0.42773,0.40413,0.37660,0.37168,0.37050,0.37217,0.36536,0.36578,0.36349,0.36342,0.45041
fea_23,0.24680,0.27540,0.29234,0.30588,0.31215,0.32357,0.33012,0.34298,0.35483,0.36432,0.29204,0.31563,0.32842,0.32965,0.32625,0.32891,0.32406,0.32448,0.32481,0.32566,0.41998
fea_24,0.27434,0.27227,0.27553,0.27934,0.28126,0.29026,0.29309,0.29808,0.30326,0.30902,0.32153,0.30826,0.30383,0.29867,0.29204,0.29449,0.28782,0.28429,0.28187,0.28142,0.35733
fea_25,0.26155,0.27099,0.27479,0.28108,0.28624,0.28864,0.29185,0.29903,0.30293,0.31057,0.31858,0.31858,0.30875,0.30457,0.30383,0.29253,0.28740,0.28724,0.28581,0.28732,0.35430
fea_26,0.29499,0.29000,0.29057,0.29490,0.30025,0.30379,0.30722,0.31009,0.31353,0.32060,0.35398,0.33776,0.32252,0.31490,0.31032,0.30433,0.29878,0.29240,0.28843,0.28850,0.36023
fea_27,0.26942,0.27245,0.27223,0.27844,0.28201,0.28609,0.29048,0.29501,0.30057,0.30913,0.33038,0.32153,0.30678,0.30088,0.29617,0.28909,0.28529,0.28245,0.28450,0.28643,0.35372
fea_28,0.24385,0.25550,0.26403,0.26525,0.27006,0.27241,0.27787,0.28532,0.29300,0.30125,0.29499,0.30088,0.29499,0.28687,0.28614,0.28073,0.27771,0.27765,0.27696,0.27699,0.35328
fea_29,0.29007,0.28225,0.28420,0.28629,0.28884,0.29254,0.29605,0.30231,0.30889,0.31484,0.34513,0.32006,0.30875,0.30162,0.29499,0.28761,0.28108,0.27987,0.27892,0.27788,0.36291
fea_30,0.28614,0.28164,0.28012,0.28444,0.28702,0.29185,0.29672,0.30314,0.30890,0.31356,0.33333,0.31268,0.29892,0.29351,0.28968,0.28712,0.28150,0.27839,0.27729,0.27552,0.36375
fea_31,0.29499,0.28497,0.28647,0.28588,0.28925,0.29371,0.29922,0.30227,0.30732,0.31487,0.34808,0.31858,0.30973,0.29867,0.29440,0.29154,0.28614,0.28024,0.27827,0.27876,0.36239
fea_32,0.22517,0.22343,0.24357,0.25329,0.25740,0.26638,0.27683,0.28497,0.29427,0.30132,0.28024,0.26844,0.28417,0.28245,0.27434,0.27729,0.28024,0.27987,0.28220,0.28201,0.34791
fea_33,0.20354,0.21337,0.23572,0.24246,0.24956,0.26203,0.27216,0.28100,0.29061,0.29720,0.26254,0.26401,0.28024,0.27581,0.27257,0.27925,0.28487,0.28319,0.28482,0.28230,0.34458
fea_34,0.19961,0.20885,0.22755,0.23781,0.24387,0.25770,0.26842,0.27640,0.28820,0.29411,0.25664,0.25959,0.27237,0.27139,0.26608,0.27483,0.28150,0.28060,0.28417,0.28053,0.34263
fea_35,0.20256,0.21480,0.23146,0.24105,0.24782,0.26047,0.27207,0.27915,0.29014,0.29684,0.25959,0.26254,0.27532,0.27507,0.27080,0.27729,0.28529,0.28245,0.28482,0.28230,0.34421
fea_36,0.32940,0.33902,0.34252,0.35321,0.35518,0.36065,0.36804,0.37268,0.38286,0.39171,0.39233,0.38791,0.37463,0.37242,0.36165,0.35890,0.35230,0.34587,0.34612,0.34484,0.42586
fea_37,0.30678,0.31967,0.32869,0.33674,0.33929,0.34662,0.35455,0.36660,0.37728,0.38486,0.35988,0.36136,0.35595,0.35177,0.34454,0.34071,0.33628,0.33665,0.33530,0.33510,0.43039
fea_38,0.35693,0.36003,0.37038,0.37489,0.38074,0.38635,0.39349,0.40357,0.41187,0.42306,0.41593,0.40118,0.39430,0.38496,0.37994,0.37561,0.36957,0.37021,0.36709,0.36844,0.45789
fea_39,0.26844,0.29183,0.30705,0.32383,0.32662,0.33625,0.34578,0.35815,0.36861,0.37885,0.30973,0.32891,0.33923,0.34882,0.33982,0.33530,0.33375,0.33444,0.33530,0.33422,0.42989
fea_40,0.19567,0.20070,0.22078,0.23223,0.24044,0.24780,0.25369,0.25813,0.26561,0.27461,0.23894,0.24631,0.26745,0.27581,0.27906,0.27925,0.27686,0.27434,0.27499,0.27788,0.33356
