model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_41,0.19764,0.19360,0.21358,0.22164,0.23163,0.23864,0.24439,0.25455,0.26491,0.27437,0.25074,0.23894,0.25959,0.26254,0.26962,0.26893,0.26886,0.27360,0.27729,0.27965,0.33409
fea_42,0.18092,0.19413,0.20727,0.22446,0.23306,0.23924,0.24478,0.25466,0.26233,0.27333,0.22419,0.23894,0.25467,0.26770,0.27316,0.27532,0.27518,0.27618,0.27565,0.27906,0.33269
fea_43,0.19862,0.20341,0.21536,0.21811,0.22380,0.23043,0.23741,0.24486,0.25170,0.25842,0.24779,0.25221,0.26155,0.25369,0.25605,0.25615,0.25748,0.25959,0.26024,0.26106,0.32331
fea_44,0.18092,0.17985,0.19108,0.20645,0.21190,0.21831,0.22413,0.23221,0.24205,0.24981,0.23599,0.22419,0.22911,0.24410,0.24307,0.24385,0.24442,0.24889,0.25238,0.25516,0.31550
fea_45,0.09833,0.15151,0.17461,0.18801,0.20372,0.22346,0.23403,0.24458,0.25590,0.26635,0.13569,0.20206,0.23107,0.24263,0.25310,0.26598,0.26844,0.27028,0.27499,0.27758,0.32319
lambdarank,0.44051,0.43282,0.42952,0.43359,0.43571,0.43853,0.44475,0.44902,0.45652,0.46085,0.50147,0.46903,0.44346,0.43805,0.42655,0.41544,0.40792,0.39934,0.39397,0.38614,0.47997
ranknet,0.42576,0.41528,0.41414,0.41768,0.41949,0.42550,0.43339,0.43657,0.44181,0.45035,0.48673,0.45133,0.43658,0.42920,0.42006,0.41495,0.40877,0.39934,0.38938,0.38407,0.47067
ranknet_speedup,0.42085,0.40182,0.40680,0.40843,0.41194,0.41774,0.42382,0.43325,0.43973,0.44731,0.47788,0.43953,0.43658,0.42257,0.41711,0.40905,0.40413,0.39934,0.39299,0.38702,0.46589
ranking_svm,0.38250,0.38923,0.39144,0.39721,0.40049,0.40116,0.40916,0.41700,0.42595,0.43348,0.45133,0.43805,0.41986,0.41445,0.40295,0.38987,0.38601,0.38237,0.37955,0.37611,0.45776
log_loss_binary_classify,0.37070,0.38631,0.39649,0.39925,0.40029,0.40993,0.41806,0.42331,0.42938,0.43740,0.42773,0.42920,0.43166,0.41888,0.40767,0.40413,0.39907,0.39122,0.38479,0.37906,0.45995
mse_regression,0.38643,0.39806,0.39813,0.39280,0.39745,0.40262,0.40928,0.41546,0.42440,0.43023,0.44543,0.44395,0.43166,0.41298,0.40531,0.39626,0.39064,0.38127,0.37889,0.37286,0.45018
lambdarank_slow,0.42380,0.41392,0.41785,0.42503,0.42840,0.43164,0.44120,0.44708,0.45362,0.45843,0.48083,0.45280,0.44543,0.43584,0.42537,0.41544,0.41172,0.40413,0.39594,0.38879,0.47581
