model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_0,0.25595,0.25343,0.25185,0.25880,0.27095,0.27906,0.28922,0.29721,0.30540,0.31399,0.32738,0.30506,0.29464,0.29315,0.29940,0.30308,0.31080,0.31138,0.31283,0.31399,0.37618
fea_1,0.27480,0.26735,0.26547,0.26740,0.27526,0.28319,0.29010,0.29413,0.30176,0.30687,0.31250,0.29911,0.29663,0.29167,0.29643,0.29712,0.29634,0.29353,0.29497,0.29405,0.34807
fea_2,0.24306,0.25092,0.26375,0.26956,0.27237,0.27463,0.28166,0.28725,0.29171,0.29842,0.27679,0.27976,0.28671,0.28571,0.27976,0.27728,0.28104,0.28237,0.28009,0.28155,0.34857
fea_3,0.23413,0.23433,0.23956,0.24407,0.24496,0.25127,0.25982,0.26495,0.27167,0.28029,0.27381,0.26786,0.27579,0.27158,0.26488,0.26538,0.26786,0.26488,0.26819,0.27202,0.34036
fea_4,0.25893,0.25487,0.25543,0.25986,0.27238,0.28018,0.28976,0.29977,0.30659,0.31538,0.33036,0.30506,0.29762,0.29315,0.30000,0.30357,0.30952,0.31287,0.31349,0.31548,0.37636
fea_5,0.11012,0.14231,0.16161,0.17770,0.19284,0.20388,0.21441,0.22670,0.23526,0.24400,0.13988,0.18750,0.20734,0.22768,0.24048,0.24851,0.25340,0.26228,0.26554,0.26964,0.31254
fea_6,0.11012,0.14231,0.16161,0.17770,0.19284,0.20388,0.21441,0.22670,0.23526,0.24400,0.13988,0.18750,0.20734,0.22768,0.24048,0.24851,0.25340,0.26228,0.26554,0.26964,0.31254
fea_7,0.11012,0.14231,0.16161,0.17770,0.19284,0.20388,0.21441,0.22670,0.23526,0.24400,0.13988,0.18750,0.20734,0.22768,0.24048,0.24851,0.25340,0.26228,0.26554,0.26964,0.31254
fea_8,0.11012,0.14231,0.16161,0.17770,0.19284,0.20388,0.21441,0.22670,0.23526,0.24400,0.13988,0.18750,0.20734,0.22768,0.24048,0.24851,0.25340,0.26228,0.26554,0.26964,0.31254
fea_9,0.11012,0.14231,0.16161,0.17770,0.19284,0.20388,0.21441,0.22670,0.23526,0.24400,0.13988,0.18750,0.20734,0.22768,0.24048,0.24851,0.25340,0.26228,0.26554,0.26964,0.31254
