model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_10,0.26389,0.27045,0.27599,0.29039,0.29745,0.30601,0.31237,0.32193,0.32966,0.33902,0.32738,0.31994,0.31944,0.32515,0.32619,0.32788,0.32866,0.33036,0.33036,0.33274,0.38930
fea_11,0.28373,0.27348,0.26538,0.27437,0.28055,0.29150,0.29601,0.30083,0.30843,0.31136,0.31548,0.30506,0.29365,0.30060,0.30238,0.30407,0.29889,0.29725,0.29729,0.29375,0.35031
fea_12,0.25595,0.25830,0.26871,0.27292,0.27793,0.28204,0.28836,0.29468,0.30004,0.30609,0.28571,0.27976,0.28869,0.28571,0.28214,0.28224,0.28274,0.28609,0.28538,0.28482,0.35617
fea_13,0.23710,0.23745,0.24002,0.24594,0.24804,0.25253,0.26210,0.26705,0.27420,0.28226,0.27679,0.27083,0.27282,0.27158,0.26726,0.26587,0.26956,0.26674,0.27050,0.27381,0.34133
fea_14,0.26687,0.27297,0.27754,0.29095,0.29841,0.30645,0.31450,0.32489,0.33177,0.33979,0.33036,0.32292,0.31944,0.32440,0.32619,0.32688,0.32951,0.33259,0.33333,0.33333,0.38902
fea_15,0.21032,0.22741,0.23838,0.25092,0.25248,0.26059,0.27041,0.27962,0.28397,0.29248,0.26786,0.28571,0.29167,0.29390,0.28690,0.28819,0.29379,0.29799,0.29563,0.29792,0.37103
fea_16,0.20040,0.21718,0.22582,0.23577,0.24444,0.25097,0.25978,0.26687,0.27462,0.28107,0.25000,0.27232,0.27778,0.28646,0.28690,0.28770,0.29039,0.29241,0.29332,0.29435,0.34104
fea_17,0.20139,0.21473,0.22027,0.22793,0.23756,0.24472,0.24935,0.25463,0.26206,0.26675,0.25298,0.26488,0.26488,0.26637,0.26964,0.26984,0.26913,0.27009,0.27315,0.27143,0.33193
fea_18,0.17163,0.17467,0.18739,0.19442,0.19793,0.20278,0.21157,0.21946,0.22502,0.23476,0.22321,0.21875,0.23512,0.23661,0.23274,0.23313,0.23767,0.24182,0.24438,0.25089,0.32379
fea_19,0.20437,0.22606,0.23735,0.24956,0.25206,0.25990,0.27001,0.27804,0.28251,0.29136,0.26190,0.28571,0.29167,0.29315,0.28750,0.28819,0.29422,0.29688,0.29464,0.29792,0.37011
fea_20,0.34127,0.35301,0.35965,0.35788,0.36344,0.37026,0.37600,0.38370,0.38715,0.39354,0.39881,0.39583,0.39187,0.37649,0.36845,0.36359,0.36012,0.35491,0.34722,0.34494,0.42757
fea_21,0.30159,0.31299,0.32773,0.33547,0.34286,0.35346,0.36119,0.37073,0.37763,0.38723,0.35714,0.35268,0.35813,0.35565,0.35060,0.35317,0.34906,0.34821,0.34557,0.34435,0.43731
fea_22,0.40873,0.39819,0.40243,0.40076,0.41341,0.42269,0.42848,0.43444,0.43965,0.44598,0.47619,0.43601,0.43056,0.41220,0.41310,0.41022,0.40306,0.39769,0.39187,0.38780,0.47576
fea_23,0.29266,0.31127,0.32203,0.32907,0.33840,0.34500,0.35321,0.36375,0.37276,0.37935,0.35417,0.35714,0.35615,0.34970,0.34583,0.34077,0.34014,0.34003,0.33962,0.33661,0.43579
fea_24,0.27083,0.26177,0.26566,0.27516,0.27827,0.28441,0.29135,0.29725,0.30295,0.30522,0.30655,0.28869,0.29365,0.30134,0.29881,0.29762,0.29847,0.29650,0.29530,0.29107,0.34663
fea_25,0.29663,0.28923,0.28215,0.28536,0.28715,0.29178,0.29352,0.29683,0.30150,0.30684,0.34226,0.32887,0.31052,0.30506,0.29643,0.29464,0.29039,0.28757,0.28704,0.28601,0.34957
fea_26,0.29067,0.28869,0.28123,0.28473,0.28994,0.29624,0.29841,0.30341,0.30638,0.31324,0.32440,0.32292,0.31151,0.30432,0.30357,0.30208,0.29592,0.29464,0.29101,0.29107,0.35427
fea_27,0.29067,0.28172,0.28353,0.28566,0.28892,0.29535,0.29887,0.30146,0.30425,0.30670,0.33631,0.31696,0.30952,0.30432,0.29881,0.29762,0.29464,0.29204,0.28836,0.28393,0.35298
fea_28,0.25893,0.25011,0.25177,0.26243,0.26533,0.27530,0.28030,0.28480,0.28779,0.29443,0.29464,0.26935,0.27183,0.28274,0.27738,0.28373,0.28401,0.28497,0.27976,0.28095,0.34600
fea_29,0.26786,0.27154,0.27066,0.27133,0.27732,0.28207,0.28749,0.29202,0.29757,0.30405,0.29762,0.29018,0.28373,0.28051,0.28095,0.28075,0.28189,0.28013,0.28042,0.28214,0.35273
fea_30,0.27083,0.27551,0.26958,0.27113,0.27647,0.28325,0.28860,0.29259,0.29829,0.30578,0.30060,0.29315,0.28175,0.27976,0.28095,0.28274,0.28316,0.28051,0.28075,0.28274,0.35450
fea_31,0.25595,0.26424,0.26778,0.27062,0.27729,0.28234,0.28842,0.29125,0.29575,0.30163,0.28571,0.28274,0.28671,0.28423,0.28393,0.28323,0.28316,0.27827,0.27844,0.27917,0.35392
fea_32,0.24901,0.25160,0.25345,0.25308,0.25639,0.25949,0.26608,0.27177,0.27776,0.28359,0.29464,0.28571,0.28671,0.27679,0.27381,0.27083,0.27083,0.26897,0.27149,0.27232,0.34326
fea_33,0.24107,0.24098,0.24776,0.24388,0.25017,0.25629,0.26336,0.27064,0.27869,0.28395,0.28274,0.26935,0.27579,0.26414,0.26726,0.26736,0.26658,0.27158,0.27315,0.27351,0.34047
fea_34,0.24008,0.24114,0.24904,0.24467,0.24903,0.25549,0.26161,0.26955,0.27701,0.28218,0.27976,0.27083,0.27976,0.26562,0.26607,0.26587,0.26446,0.27046,0.27183,0.27232,0.34013
fea_35,0.23512,0.23620,0.24395,0.24065,0.24656,0.25365,0.25984,0.26867,0.27573,0.28155,0.27679,0.26786,0.27381,0.26265,0.26488,0.26488,0.26403,0.27083,0.27149,0.27292,0.34072
fea_36,0.33333,0.36236,0.36390,0.36116,0.36027,0.36742,0.37430,0.37922,0.38828,0.39476,0.38690,0.40923,0.39583,0.37872,0.36310,0.35863,0.35459,0.35007,0.35020,0.34970,0.42640
fea_37,0.30556,0.32015,0.33097,0.34012,0.34709,0.35441,0.36393,0.37284,0.38034,0.38852,0.36310,0.35417,0.35813,0.35789,0.35179,0.34921,0.34779,0.34859,0.34491,0.34405,0.43709
fea_38,0.40774,0.39951,0.40791,0.40695,0.41674,0.42628,0.43146,0.43677,0.44404,0.45029,0.47321,0.43899,0.43849,0.42262,0.41726,0.41270,0.40391,0.39695,0.39220,0.38899,0.47684
fea_39,0.28968,0.31339,0.32164,0.32925,0.33813,0.34390,0.35414,0.36591,0.37417,0.38150,0.35119,0.35714,0.35615,0.35045,0.34643,0.33879,0.34014,0.34338,0.34392,0.34137,0.43589
fea_40,0.18254,0.20573,0.21125,0.22051,0.22995,0.23556,0.24264,0.25184,0.25765,0.26411,0.23214,0.25595,0.25595,0.26488,0.26905,0.26984,0.26956,0.27307,0.27249,0.27321,0.33204
fea_41,0.19048,0.20530,0.21161,0.22172,0.23194,0.24366,0.25082,0.25705,0.26282,0.27220,0.24405,0.25000,0.25099,0.26042,0.26548,0.27282,0.27636,0.27753,0.27712,0.27946,0.33538
fea_42,0.16766,0.18287,0.19541,0.20645,0.21388,0.22095,0.22942,0.23406,0.24214,0.24853,0.21131,0.23214,0.24306,0.25223,0.25476,0.25645,0.26063,0.25856,0.26323,0.26339,0.32203
fea_43,0.19345,0.20780,0.21472,0.21752,0.22022,0.22599,0.23520,0.24080,0.24692,0.25341,0.24702,0.25000,0.25000,0.24777,0.24405,0.24702,0.25425,0.25744,0.25992,0.26339,0.33495
fea_44,0.18948,0.19452,0.19711,0.19759,0.20647,0.21252,0.21789,0.22248,0.22794,0.23401,0.23512,0.24107,0.23909,0.23289,0.23750,0.24157,0.24277,0.24330,0.24438,0.24494,0.32110
fea_45,0.11012,0.14231,0.16161,0.17770,0.19284,0.20388,0.21441,0.22670,0.23526,0.24400,0.13988,0.18750,0.20734,0.22768,0.24048,0.24851,0.25340,0.26228,0.26554,0.26964,0.31254
lambdarank,0.44544,0.44755,0.44621,0.44771,0.45523,0.45726,0.46324,0.47020,0.47305,0.47506,0.49702,0.47768,0.46329,0.45015,0.44226,0.42708,0.42007,0.41629,0.40608,0.39643,0.49096
ranknet,0.44048,0.44318,0.44134,0.44605,0.44911,0.45672,0.46477,0.47019,0.47514,0.48227,0.51190,0.48214,0.46329,0.45238,0.43988,0.43254,0.42602,0.41853,0.41005,0.40655,0.49566
ranknet_speedup,0.45635,0.45913,0.45435,0.45409,0.46002,0.46289,0.47373,0.48004,0.48396,0.48956,0.51786,0.48958,0.46627,0.44717,0.44226,0.43105,0.42942,0.42299,0.41567,0.40923,0.49664
ranking_svm,0.40972,0.41397,0.41458,0.41978,0.43164,0.43419,0.44237,0.44717,0.45284,0.45689,0.48512,0.45536,0.43948,0.43080,0.42798,0.41518,0.41454,0.40625,0.40278,0.39405,0.47778
log_loss_binary_classify,0.43056,0.43556,0.43519,0.42945,0.43276,0.44178,0.44831,0.45101,0.45763,0.46181,0.48214,0.47470,0.45635,0.43304,0.42262,0.42014,0.41284,0.40365,0.39815,0.38988,0.47809
mse_regression,0.41865,0.42203,0.42654,0.43072,0.43334,0.44171,0.44449,0.44710,0.45152,0.45884,0.47619,0.45685,0.44841,0.43899,0.42500,0.42113,0.40986,0.39955,0.39286,0.39048,0.47557
lambdarank_slow,0.43155,0.43815,0.43723,0.44274,0.45306,0.46087,0.46415,0.46718,0.47213,0.47687,0.49107,0.47470,0.45635,0.44345,0.44226,0.43155,0.42092,0.41146,0.40575,0.39940,0.49305
