model,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,MAP
fea_0,0.22222,0.22952,0.24270,0.24803,0.25764,0.26664,0.27914,0.29157,0.29917,0.30688,0.27139,0.27876,0.28712,0.28687,0.28850,0.28859,0.29499,0.29867,0.29859,0.29764,0.36122
fea_1,0.22812,0.23095,0.23862,0.24356,0.25182,0.25830,0.26619,0.27117,0.27635,0.27985,0.27139,0.26991,0.26844,0.26770,0.26844,0.27188,0.27265,0.26881,0.26680,0.26283,0.31978
fea_2,0.22321,0.22795,0.23135,0.24167,0.25050,0.25497,0.25793,0.26284,0.26814,0.27411,0.26254,0.26549,0.25860,0.26180,0.26254,0.25959,0.25284,0.25147,0.24910,0.24779,0.31630
fea_3,0.19469,0.20471,0.20794,0.21344,0.21799,0.22971,0.23617,0.24430,0.25120,0.25790,0.24189,0.24336,0.24189,0.23894,0.24130,0.24975,0.24989,0.25295,0.25336,0.25192,0.31096
fea_4,0.21829,0.22677,0.24136,0.25010,0.26047,0.26857,0.27926,0.29213,0.30027,0.30786,0.26549,0.27286,0.28515,0.28982,0.29145,0.29056,0.29541,0.29867,0.29925,0.29794,0.35901
fea_5,0.13176,0.15520,0.16705,0.17645,0.19663,0.21244,0.22119,0.22839,0.23590,0.24242,0.15339,0.19174,0.20551,0.21386,0.23481,0.24484,0.24737,0.24705,0.24812,0.24749,0.29748
fea_6,0.13176,0.15520,0.16705,0.17645,0.19663,0.21244,0.22119,0.22839,0.23590,0.24242,0.15339,0.19174,0.20551,0.21386,0.23481,0.24484,0.24737,0.24705,0.24812,0.24749,0.29748
fea_7,0.13176,0.15520,0.16705,0.17645,0.19663,0.21244,0.22119,0.22839,0.23590,0.24242,0.15339,0.19174,0.20551,0.21386,0.23481,0.24484,0.24737,0.24705,0.24812,0.24749,0.29748
fea_8,0.13176,0.15520,0.16705,0.17645,0.19663,0.21244,0.22119,0.22839,0.23590,0.24242,0.15339,0.19174,0.20551,0.21386,0.23481,0.24484,0.24737,0.24705,0.24812,0.24749,0.29748
fea_9,0.13176,0.15520,0.16705,0.17645,0.19663,0.21244,0.22119,0.22839,0.23590,0.24242,0.15339,0.19174,0.20551,0.21386,0.23481,0.24484,0.24737,0.24705,0.24812,0.24749,0.29748
fea_10,0.23304,0.24077,0.25615,0.26767,0.27509,0.28763,0.29723,0.30604,0.31226,0.31810,0.28024,0.28614,0.29794,0.30383,0.30265,0.30433,0.30763,0.30789,0.30678,0.30501,0.36695
fea_11,0.22419,0.23070,0.24224,0.25074,0.25584,0.26236,0.26703,0.27310,0.27750,0.28470,0.27139,0.27139,0.27139,0.27581,0.27375,0.27483,0.27223,0.26844,0.26549,0.26637,0.32148
fea_12,0.22321,0.22780,0.23873,0.24665,0.25302,0.25762,0.26169,0.26493,0.26980,0.27638,0.25664,0.25664,0.26057,0.26401,0.26431,0.26106,0.25706,0.25258,0.25107,0.24926,0.31857
fea_13,0.19371,0.20766,0.20689,0.21312,0.21828,0.22643,0.23466,0.24277,0.25118,0.25820,0.24484,0.24631,0.24189,0.23968,0.24307,0.24631,0.24947,0.25221,0.25434,0.25280,0.31076
fea_14,0.23304,0.24243,0.26061,0.27110,0.27730,0.29101,0.29986,0.30655,0.31426,0.32058,0.28024,0.28909,0.30285,0.30678,0.30442,0.30777,0.30931,0.30752,0.30711,0.30560,0.36591
fea_15,0.17109,0.19682,0.20890,0.21882,0.22869,0.23783,0.25151,0.26234,0.26932,0.28042,0.21239,0.25074,0.26352,0.26844,0.27257,0.27483,0.28066,0.28134,0.27925,0.28171,0.34742
fea_16,0.20354,0.21478,0.22321,0.22914,0.23691,0.24191,0.24838,0.25658,0.26209,0.26834,0.24484,0.25516,0.25762,0.26254,0.26490,0.26598,0.26591,0.26586,0.26483,0.26342,0.31858
fea_17,0.17896,0.18431,0.19643,0.20100,0.20555,0.21003,0.21758,0.22513,0.22917,0.23473,0.21829,0.21829,0.23206,0.23378,0.23245,0.22763,0.23093,0.23304,0.23107,0.23186,0.29827
fea_18,0.12979,0.14820,0.15950,0.16950,0.18342,0.18924,0.19487,0.20252,0.20836,0.21665,0.17109,0.18584,0.19469,0.20280,0.21416,0.21534,0.21745,0.22382,0.22616,0.22979,0.29029
fea_19,0.17207,0.19692,0.20973,0.21918,0.22888,0.23801,0.25168,0.26145,0.26920,0.28097,0.21534,0.25074,0.26450,0.26917,0.27257,0.27483,0.28066,0.28097,0.27925,0.28230,0.34732
fea_20,0.31662,0.31752,0.32698,0.33757,0.33800,0.34169,0.35067,0.35757,0.36297,0.36944,0.37168,0.35398,0.34612,0.34661,0.33687,0.33137,0.32870,0.32596,0.32219,0.31770,0.40586
fea_21,0.30285,0.30546,0.31739,0.32651,0.33146,0.33897,0.34949,0.35747,0.36633,0.37180,0.35988,0.34218,0.34120,0.33997,0.33274,0.33088,0.33038,0.32485,0.32219,0.31740,0.41689
fea_22,0.35202,0.37038,0.37670,0.38834,0.38999,0.39637,0.40445,0.41068,0.41721,0.42314,0.42478,0.41888,0.40413,0.39749,0.37994,0.37266,0.36747,0.36173,0.35693,0.35221,0.45307
fea_23,0.24582,0.27243,0.28491,0.29811,0.30787,0.31760,0.32967,0.33732,0.34577,0.35653,0.30088,0.32301,0.31957,0.32448,0.31858,0.31858,0.31816,0.31305,0.31072,0.31209,0.40917
fea_24,0.25172,0.25021,0.25691,0.27088,0.27456,0.27649,0.28072,0.28535,0.29034,0.29579,0.28909,0.28319,0.27827,0.28982,0.28555,0.27827,0.27476,0.27249,0.27139,0.26903,0.32769
fea_25,0.26155,0.25839,0.25479,0.26061,0.26474,0.27385,0.27857,0.28793,0.29228,0.29732,0.30088,0.28761,0.27729,0.27360,0.27139,0.27778,0.27476,0.27839,0.27532,0.27227,0.32526
fea_26,0.27532,0.27492,0.26753,0.26660,0.27008,0.27613,0.28197,0.29128,0.29544,0.30177,0.30678,0.30088,0.27827,0.27360,0.27257,0.27335,0.27181,0.27544,0.27335,0.27198,0.32753
fea_27,0.24975,0.24342,0.24833,0.26094,0.26148,0.26687,0.27444,0.28220,0.28679,0.29445,0.28909,0.27581,0.27434,0.28024,0.27316,0.27335,0.27349,0.27544,0.27303,0.27198,0.32350
fea_28,0.24287,0.25298,0.26232,0.26273,0.27088,0.27293,0.27402,0.27691,0.27943,0.28266,0.28024,0.28761,0.28909,0.28097,0.28142,0.27286,0.26549,0.26106,0.25696,0.25251,0.32351
fea_29,0.29204,0.27857,0.27746,0.28101,0.28327,0.28753,0.28811,0.29192,0.29452,0.29894,0.32743,0.30531,0.29204,0.28687,0.28201,0.27729,0.26970,0.26438,0.25828,0.25487,0.33422
fea_30,0.26352,0.26819,0.26212,0.26595,0.27080,0.27739,0.28070,0.28359,0.28679,0.28961,0.30088,0.30236,0.28122,0.27802,0.27670,0.27581,0.27307,0.26659,0.26254,0.25723,0.32677
fea_31,0.27040,0.26391,0.26564,0.26924,0.27130,0.27930,0.27984,0.28456,0.28886,0.29416,0.30383,0.29351,0.28417,0.28024,0.27375,0.27335,0.26675,0.26327,0.25959,0.25487,0.33023
fea_32,0.21927,0.22281,0.22207,0.22546,0.22925,0.23620,0.24391,0.25032,0.25658,0.26336,0.26844,0.25811,0.25270,0.24779,0.24897,0.24975,0.25242,0.25406,0.25270,0.25103,0.31319
fea_33,0.19666,0.21072,0.20919,0.21428,0.22419,0.23163,0.23923,0.24418,0.25031,0.25828,0.24779,0.25074,0.24189,0.24263,0.24956,0.25025,0.25284,0.25037,0.24844,0.24867,0.30988
fea_34,0.19371,0.21121,0.20930,0.21344,0.22335,0.23065,0.23905,0.24438,0.25093,0.25927,0.24484,0.25369,0.24484,0.24410,0.25133,0.25172,0.25579,0.25406,0.25205,0.25133,0.31013
fea_35,0.19076,0.20901,0.20801,0.21200,0.22234,0.23015,0.23864,0.24408,0.25121,0.25900,0.24189,0.25221,0.24484,0.24336,0.25074,0.25172,0.25579,0.25442,0.25270,0.25133,0.31076
fea_36,0.32153,0.32638,0.32997,0.33739,0.34056,0.34584,0.35266,0.35626,0.36075,0.36710,0.37463,0.36136,0.35005,0.34513,0.33746,0.33284,0.32996,0.32190,0.31695,0.31475,0.40293
fea_37,0.31563,0.32679,0.32866,0.33156,0.33975,0.34651,0.35408,0.35973,0.36815,0.37488,0.36873,0.36431,0.34808,0.33776,0.33274,0.32989,0.32659,0.31969,0.31858,0.31445,0.42083
fea_38,0.35988,0.37192,0.38227,0.39334,0.39504,0.40268,0.40753,0.41357,0.42329,0.42986,0.43658,0.41740,0.40806,0.40192,0.38643,0.37906,0.36957,0.36468,0.36382,0.35811,0.45344
fea_39,0.27925,0.29298,0.30215,0.31353,0.32229,0.32900,0.34022,0.34896,0.35617,0.36627,0.33628,0.33481,0.32842,0.33186,0.32920,0.32399,0.32196,0.31895,0.31400,0.31386,0.41625
fea_40,0.15733,0.18847,0.20044,0.20774,0.21595,0.22362,0.23032,0.23370,0.24117,0.24839,0.20649,0.24041,0.24189,0.24484,0.24661,0.24828,0.25074,0.24742,0.24680,0.24690,0.31350
fea_41,0.18879,0.19198,0.20764,0.21475,0.22262,0.23160,0.24108,0.25245,0.26082,0.26837,0.23599,0.22861,0.24287,0.24631,0.24661,0.25123,0.25622,0.26106,0.26254,0.26313,0.31574
fea_42,0.16421,0.17342,0.18785,0.19726,0.20735,0.21645,0.22632,0.23423,0.24190,0.24813,0.19764,0.20354,0.21632,0.22124,0.22950,0.23107,0.23515,0.23746,0.23894,0.23835,0.30618
fea_43,0.15733,0.18919,0.20489,0.20955,0.21609,0.22161,0.22928,0.23336,0.23851,0.24567,0.19469,0.23451,0.24385,0.24336,0.24720,0.24484,0.24610,0.24373,0.24254,0.24395,0.30589
fea_44,0.14553,0.15434,0.16776,0.17803,0.18460,0.19494,0.19979,0.20693,0.21547,0.22515,0.18879,0.19764,0.20551,0.21313,0.21475,0.22517,0.22419,0.22824,0.23206,0.23540,0.29446
fea_45,0.13176,0.15520,0.16705,0.17645,0.19663,0.21244,0.22119,0.22839,0.23590,0.24242,0.15339,0.19174,0.20551,0.21386,0.23481,0.24484,0.24737,0.24705,0.24812,0.24749,0.29748
lambdarank,0.41101,0.41097,0.42511,0.42460,0.42579,0.43273,0.43394,0.44024,0.44650,0.45329,0.47198,0.44985,0.44248,0.42257,0.40531,0.40167,0.38769,0.38274,0.37889,0.37493,0.46371
ranknet,0.41396,0.40873,0.41721,0.41704,0.42115,0.42354,0.42523,0.43074,0.43954,0.44783,0.47493,0.45280,0.43953,0.41888,0.40944,0.39626,0.38475,0.37758,0.37660,0.37257,0.46357
